Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;No;OverSampling;0.74;0.53;0.62;0.68;0.86;0.49
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;Yes;OverSampling;0.74;0.49;0.59;0.64;0.82;0.47
BOOKKEEPER;4;Random Forest;55;28.732;24.439;No;OverSampling;0.84;0.96;0.90;0.97;0.99;0.85
BOOKKEEPER;4;Random Forest;55;28.732;24.439;Yes;OverSampling;0.81;0.89;0.85;0.91;0.96;0.78
BOOKKEEPER;4;IBK;55;28.732;24.439;No;OverSampling;0.86;0.97;0.91;0.86;0.96;0.87
BOOKKEEPER;4;IBK;55;28.732;24.439;Yes;OverSampling;0.83;0.87;0.85;0.79;0.92;0.79
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;No;UnderSampling;0.74;0.57;0.64;0.68;0.86;0.52
BOOKKEEPER;4;Naive Bayes;55;28.732;24.439;Yes;UnderSampling;0.74;0.53;0.61;0.64;0.83;0.50
BOOKKEEPER;4;Random Forest;55;28.732;24.439;No;UnderSampling;0.74;0.99;0.85;0.94;0.98;0.78
BOOKKEEPER;4;Random Forest;55;28.732;24.439;Yes;UnderSampling;0.71;0.94;0.81;0.89;0.95;0.72
BOOKKEEPER;4;IBK;55;28.732;24.439;No;UnderSampling;0.74;0.99;0.85;0.74;0.93;0.77
BOOKKEEPER;4;IBK;55;28.732;24.439;Yes;UnderSampling;0.71;0.91;0.80;0.69;0.90;0.71
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;No;No;0.13;0.49;0.21;0.15;0.75;0.14
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;Yes;No;0.13;0.46;0.20;0.14;0.70;0.12
BOOKKEEPER;5;Random Forest;73;27.706;5.37;No;No;0.18;0.59;0.28;0.16;0.81;0.21
BOOKKEEPER;5;Random Forest;73;27.706;5.37;Yes;No;0.17;0.62;0.27;0.18;0.80;0.21
BOOKKEEPER;5;IBK;73;27.706;5.37;No;No;0.13;0.51;0.20;0.10;0.71;0.13
BOOKKEEPER;5;IBK;73;27.706;5.37;Yes;No;0.13;0.54;0.22;0.11;0.72;0.14
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;No;SMOTE;0.14;0.49;0.21;0.15;0.75;0.14
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;Yes;SMOTE;0.13;0.47;0.20;0.14;0.70;0.13
BOOKKEEPER;5;Random Forest;73;27.706;5.37;No;SMOTE;0.19;0.65;0.30;0.17;0.81;0.23
BOOKKEEPER;5;Random Forest;73;27.706;5.37;Yes;SMOTE;0.17;0.64;0.27;0.18;0.80;0.21
BOOKKEEPER;5;IBK;73;27.706;5.37;No;SMOTE;0.12;0.51;0.20;0.10;0.71;0.12
BOOKKEEPER;5;IBK;73;27.706;5.37;Yes;SMOTE;0.13;0.55;0.22;0.11;0.72;0.14
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;No;OverSampling;0.73;0.46;0.57;0.66;0.86;0.45
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;Yes;OverSampling;0.55;0.47;0.51;0.48;0.75;0.38
BOOKKEEPER;5;Random Forest;73;27.706;5.37;No;OverSampling;0.88;0.98;0.93;0.98;0.99;0.90
BOOKKEEPER;5;Random Forest;73;27.706;5.37;Yes;OverSampling;0.71;0.97;0.82;0.86;0.97;0.76
BOOKKEEPER;5;IBK;73;27.706;5.37;No;OverSampling;0.88;0.98;0.93;0.91;0.98;0.90
BOOKKEEPER;5;IBK;73;27.706;5.37;Yes;OverSampling;0.71;0.96;0.82;0.72;0.94;0.76
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;No;UnderSampling;0.73;0.53;0.61;0.65;0.85;0.50
BOOKKEEPER;5;Naive Bayes;73;27.706;5.37;Yes;UnderSampling;0.57;0.53;0.55;0.49;0.76;0.43
BOOKKEEPER;5;Random Forest;73;27.706;5.37;No;UnderSampling;0.74;0.99;0.85;0.92;0.98;0.78
BOOKKEEPER;5;Random Forest;73;27.706;5.37;Yes;UnderSampling;0.60;0.98;0.75;0.79;0.95;0.65
BOOKKEEPER;5;IBK;73;27.706;5.37;No;UnderSampling;0.72;0.98;0.83;0.72;0.93;0.75
BOOKKEEPER;5;IBK;73;27.706;5.37;Yes;UnderSampling;0.60;0.97;0.74;0.59;0.90;0.64
