@RELATION BOOKKEEPER5TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
6,1,0,76,76,76,76,11,11,11,no
6,1,0,49,49,49,49,11,11,11,no
6,1,0,63,63,63,63,11,11,11,no
6,1,0,55,55,55,55,11,11,11,no
6,1,0,45,45,45,45,11,11,11,no
6,0,0,476,0,0,0,0,0,0,no
6,0,0,77,0,0,0,0,0,0,no
6,0,0,69,0,0,0,0,0,0,no
6,0,0,104,0,0,0,0,0,0,no
6,0,0,115,0,0,0,0,0,0,no
6,0,0,421,0,0,0,0,0,0,no
6,0,0,61,0,0,0,0,0,0,no
6,0,0,2009,0,0,0,0,0,0,no
6,0,0,179,0,0,0,0,0,0,no
6,0,0,105,0,0,0,0,0,0,no
6,0,0,33,0,0,0,0,0,0,no
6,0,0,656,0,0,0,0,0,0,no
6,0,0,295,0,0,0,0,0,0,no
6,0,0,872,0,0,0,0,0,0,no
6,0,0,444,0,0,0,0,0,0,no
6,0,0,168,0,0,0,0,0,0,no
6,0,0,751,0,0,0,0,0,0,no
6,0,0,135,0,0,0,0,0,0,no
6,0,0,1126,0,0,0,0,0,0,no
6,0,0,163,0,0,0,0,0,0,no
6,0,0,184,0,0,0,0,0,0,no
6,0,0,51,0,0,0,0,0,0,no
6,0,0,25,0,0,0,0,0,0,no
6,0,0,180,0,0,0,0,0,0,no
6,0,0,64,0,0,0,0,0,0,no
6,0,0,101,0,0,0,0,0,0,no
6,0,0,511,0,0,0,0,0,0,no
6,0,0,187,0,0,0,0,0,0,no
6,0,0,56,0,0,0,0,0,0,no
6,0,0,39,0,0,0,0,0,0,no
6,0,0,261,0,0,0,0,0,0,no
6,0,0,73,0,0,0,0,0,0,no
6,0,0,65,0,0,0,0,0,0,no
6,0,0,329,0,0,0,0,0,0,no
6,0,0,64,0,0,0,0,0,0,no
6,0,0,164,0,0,0,0,0,0,no
6,0,0,624,0,0,0,0,0,0,no
6,0,0,74,0,0,0,0,0,0,no
6,0,0,117,0,0,0,0,0,0,no
6,0,0,84,0,0,0,0,0,0,no
6,0,0,226,0,0,0,0,0,0,no
6,0,0,76,0,0,0,0,0,0,no
6,0,0,323,0,0,0,0,0,0,no
6,0,0,153,0,0,0,0,0,0,no
6,0,0,250,0,0,0,0,0,0,no
6,0,0,73,0,0,0,0,0,0,no
6,0,0,84,0,0,0,0,0,0,no
6,0,0,61,0,0,0,0,0,0,no
6,0,0,936,0,0,0,0,0,0,no
6,0,0,76,0,0,0,0,0,0,no
6,0,0,165,0,0,0,0,0,0,no
6,0,0,504,0,0,0,0,0,0,no
6,0,0,109,0,0,0,0,0,0,no
6,0,0,77,0,0,0,0,0,0,no
6,0,0,75,0,0,0,0,0,0,no
6,0,0,204,0,0,0,0,0,0,no
6,0,0,127,0,0,0,0,0,0,no
6,0,0,148,0,0,0,0,0,0,no
6,0,0,169,0,0,0,0,0,0,no
6,0,0,157,0,0,0,0,0,0,no
6,0,0,96,0,0,0,0,0,0,no
6,0,0,26,0,0,0,0,0,0,no
6,0,0,87,0,0,0,0,0,0,no
6,0,0,38,0,0,0,0,0,0,no
6,0,0,281,0,0,0,0,0,0,no
6,0,0,380,0,0,0,0,0,0,no
6,0,0,339,0,0,0,0,0,0,no
6,0,0,234,0,0,0,0,0,0,no
6,0,0,239,0,0,0,0,0,0,no
6,0,0,107,0,0,0,0,0,0,no
6,0,0,174,0,0,0,0,0,0,no
6,0,0,101,0,0,0,0,0,0,no
6,0,0,176,0,0,0,0,0,0,no
6,0,0,212,0,0,0,0,0,0,no
6,0,0,33,0,0,0,0,0,0,no
6,0,0,95,0,0,0,0,0,0,no
6,0,0,116,0,0,0,0,0,0,no
6,0,0,28,0,0,0,0,0,0,no
6,0,0,46,0,0,0,0,0,0,no
6,0,0,36,0,0,0,0,0,0,no
6,0,0,692,0,0,0,0,0,0,no
6,0,0,164,0,0,0,0,0,0,no
6,0,0,193,0,0,0,0,0,0,no
6,0,0,145,0,0,0,0,0,0,no
6,0,0,151,0,0,0,0,0,0,no
6,0,0,91,0,0,0,0,0,0,no
6,0,0,129,0,0,0,0,0,0,no
6,0,0,138,0,0,0,0,0,0,no
6,0,0,222,0,0,0,0,0,0,no
6,0,0,98,0,0,0,0,0,0,no
6,0,0,127,0,0,0,0,0,0,no
6,0,0,77,0,0,0,0,0,0,no
6,0,0,171,0,0,0,0,0,0,no
6,0,0,212,0,0,0,0,0,0,no
6,0,0,88,0,0,0,0,0,0,no
6,0,0,139,0,0,0,0,0,0,no
6,0,0,125,0,0,0,0,0,0,no
6,0,0,78,0,0,0,0,0,0,no
6,0,0,50,0,0,0,0,0,0,no
6,0,0,63,0,0,0,0,0,0,no
6,0,0,79,0,0,0,0,0,0,no
6,0,0,37,0,0,0,0,0,0,no
6,0,0,181,0,0,0,0,0,0,no
6,0,0,47,0,0,0,0,0,0,no
6,0,0,56,0,0,0,0,0,0,no
6,0,0,38,0,0,0,0,0,0,no
6,0,0,237,0,0,0,0,0,0,no
6,0,0,273,0,0,0,0,0,0,no
6,0,0,116,0,0,0,0,0,0,no
6,0,0,35,0,0,0,0,0,0,no
6,0,0,129,0,0,0,0,0,0,no
6,0,0,261,0,0,0,0,0,0,no
6,0,0,71,0,0,0,0,0,0,no
6,0,0,62,0,0,0,0,0,0,no
6,0,0,72,0,0,0,0,0,0,no
6,0,0,73,0,0,0,0,0,0,no
6,0,0,145,0,0,0,0,0,0,no
6,0,0,413,0,0,0,0,0,0,no
6,0,0,322,0,0,0,0,0,0,no
6,0,0,214,0,0,0,0,0,0,no
6,0,0,192,0,0,0,0,0,0,no
6,0,0,628,0,0,0,0,0,0,no
6,0,0,256,0,0,0,0,0,0,no
6,0,0,119,0,0,0,0,0,0,no
6,0,0,73,0,0,0,0,0,0,no
6,0,0,340,0,0,0,0,0,0,no
6,0,0,241,0,0,0,0,0,0,no
6,0,0,54,0,0,0,0,0,0,no
