@RELATION OPENJPA13TrainingDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
1,2,0,518,-1,0,0,233,222,116,no
1,2,0,109,109,94,54,167,141,83,no
1,0,0,87,0,0,0,0,0,0,no
1,0,0,88,0,0,0,0,0,0,no
1,2,1,71,14,12,7,11,6,5,yes
1,7,0,89,-7,17,-1,97,44,13,no
1,2,0,159,20,21,10,7,6,3,no
1,0,0,157,0,0,0,0,0,0,no
1,5,0,1386,22,22,4,275,222,55,no
1,14,0,1423,-11,12,0,207,44,14,no
1,5,0,40,40,32,8,92,35,18,no
1,8,0,136,-6,2,0,104,44,13,no
1,3,0,61,61,60,20,19,9,6,yes
1,1,0,137,-2,0,-2,44,44,44,no
1,0,0,46,0,0,0,0,0,0,no
1,0,0,439,0,0,0,0,0,0,no
1,0,0,319,0,0,0,0,0,0,no
1,0,0,55,0,0,0,0,0,0,no
1,1,0,150,0,0,0,222,222,222,no
1,1,0,137,0,0,0,222,222,222,no
1,1,0,258,0,0,0,222,222,222,no
1,0,0,74,0,0,0,0,0,0,no
1,0,0,87,0,0,0,0,0,0,no
1,0,0,32,0,0,0,0,0,0,no
1,2,0,252,20,20,10,225,222,112,no
1,1,0,145,0,0,0,3,3,3,no
1,1,0,243,1,1,1,1,1,1,no
1,6,0,679,86,73,14,19,9,3,no
1,0,0,333,0,0,0,0,0,0,no
1,1,0,216,0,0,0,222,222,222,no
1,1,0,62,0,0,0,222,222,222,no
1,1,0,30,0,0,0,222,222,222,no
1,1,0,135,0,0,0,222,222,222,no
1,3,1,647,-20,5,-6,253,222,84,no
1,0,0,465,0,0,0,0,0,0,no
1,0,0,64,0,0,0,0,0,0,no
1,0,0,49,0,0,0,0,0,0,no
1,1,0,30,0,0,0,222,222,222,no
1,3,0,193,42,22,14,26,15,8,yes
1,1,0,79,12,12,12,15,15,15,no
1,3,0,56,20,12,6,27,15,9,no
1,1,0,36,20,20,20,15,15,15,no
1,1,0,46,12,12,12,15,15,15,no
1,7,1,388,400,458,57,75,44,10,no
1,1,0,48,31,31,31,15,15,15,no
1,2,0,1470,16,15,8,44,40,22,no
1,1,0,529,0,0,0,222,222,222,no
1,1,0,138,0,0,0,222,222,222,no
1,1,0,529,0,0,0,222,222,222,no
1,0,0,72,0,0,0,0,0,0,no
1,0,0,24,0,0,0,0,0,0,no
1,0,0,72,0,0,0,0,0,0,no
1,3,0,1074,7,7,2,227,222,75,no
1,18,3,3759,158,192,8,134,40,7,yes
1,2,0,254,2,2,1,238,222,119,no
1,1,0,91,0,0,0,9,9,9,no
1,2,0,288,2,7,1,49,40,24,no
1,0,0,81,0,0,0,0,0,0,no
1,1,0,67,0,0,0,222,222,222,no
1,1,0,70,0,0,0,222,222,222,no
1,0,0,34,0,0,0,0,0,0,no
1,2,0,70,21,20,10,44,39,22,no
1,1,0,33,0,0,0,222,222,222,no
1,1,0,50,0,0,0,222,222,222,no
1,0,0,35,0,0,0,0,0,0,no
1,0,0,35,0,0,0,0,0,0,no
1,0,0,34,0,0,0,0,0,0,no
1,0,0,45,0,0,0,0,0,0,no
1,1,0,70,0,0,0,222,222,222,no
1,1,0,39,0,0,0,222,222,222,no
1,1,0,40,0,0,0,222,222,222,no
1,3,0,271,1,1,0,224,222,74,yes
1,1,0,36,3,3,3,39,39,39,no
1,1,0,185,0,0,0,222,222,222,no
