Dataset;#Training;Classifier;%training;%defective in training;%defective in testing;Feature Selection;Balancing;Precision;Recall;F1;AUPRC;ROC_Area;Kappa
OPENJPA;6;IBK;26;4.332;4.913;No;UnderSampling;0.16;0.98;0.28;0.16;0.88;0.22
OPENJPA;6;IBK;26;4.332;4.913;Yes;UnderSampling;0.16;0.96;0.28;0.16;0.87;0.22
OPENJPA;7;Naive Bayes;30;4.413;1.132;No;No;0.15;0.62;0.24;0.12;0.88;0.22
OPENJPA;7;Naive Bayes;30;4.413;1.132;Yes;No;0.14;0.52;0.22;0.12;0.87;0.20
OPENJPA;7;Random Forest;30;4.413;1.132;No;No;0.14;0.38;0.21;0.15;0.90;0.20
OPENJPA;7;Random Forest;30;4.413;1.132;Yes;No;0.17;0.38;0.24;0.14;0.89;0.22
OPENJPA;7;IBK;30;4.413;1.132;No;No;0.12;0.62;0.20;0.08;0.85;0.19
OPENJPA;7;IBK;30;4.413;1.132;Yes;No;0.14;0.56;0.23;0.10;0.86;0.21
OPENJPA;7;Naive Bayes;30;4.413;1.132;No;SMOTE;0.14;0.65;0.24;0.12;0.89;0.22
OPENJPA;7;Naive Bayes;30;4.413;1.132;Yes;SMOTE;0.13;0.56;0.21;0.12;0.89;0.20
OPENJPA;7;Random Forest;30;4.413;1.132;No;SMOTE;0.15;0.62;0.25;0.14;0.88;0.23
OPENJPA;7;Random Forest;30;4.413;1.132;Yes;SMOTE;0.15;0.52;0.24;0.13;0.89;0.22
OPENJPA;7;IBK;30;4.413;1.132;No;SMOTE;0.12;0.62;0.20;0.08;0.85;0.18
OPENJPA;7;IBK;30;4.413;1.132;Yes;SMOTE;0.14;0.56;0.22;0.10;0.86;0.21
OPENJPA;7;Naive Bayes;30;4.413;1.132;No;OverSampling;0.25;0.48;0.33;0.24;0.83;0.29
OPENJPA;7;Naive Bayes;30;4.413;1.132;Yes;OverSampling;0.23;0.49;0.31;0.21;0.81;0.28
OPENJPA;7;Random Forest;30;4.413;1.132;No;OverSampling;0.68;1.00;0.81;0.98;1.00;0.80
OPENJPA;7;Random Forest;30;4.413;1.132;Yes;OverSampling;0.55;0.97;0.70;0.92;0.99;0.69
OPENJPA;7;IBK;30;4.413;1.132;No;OverSampling;0.62;1.00;0.77;0.72;0.99;0.76
OPENJPA;7;IBK;30;4.413;1.132;Yes;OverSampling;0.53;0.98;0.69;0.61;0.98;0.67
OPENJPA;7;Naive Bayes;30;4.413;1.132;No;UnderSampling;0.24;0.44;0.31;0.21;0.84;0.27
OPENJPA;7;Naive Bayes;30;4.413;1.132;Yes;UnderSampling;0.22;0.46;0.29;0.17;0.79;0.26
OPENJPA;7;Random Forest;30;4.413;1.132;No;UnderSampling;0.20;0.99;0.34;0.56;0.97;0.29
OPENJPA;7;Random Forest;30;4.413;1.132;Yes;UnderSampling;0.18;0.98;0.30;0.42;0.96;0.25
OPENJPA;7;IBK;30;4.413;1.132;No;UnderSampling;0.17;0.99;0.29;0.17;0.89;0.23
OPENJPA;7;IBK;30;4.413;1.132;Yes;UnderSampling;0.15;0.98;0.26;0.15;0.89;0.21
OPENJPA;8;Naive Bayes;37;3.776;0.98;No;No;0.05;0.57;0.09;0.09;0.88;0.08
OPENJPA;8;Naive Bayes;37;3.776;0.98;Yes;No;0.06;0.50;0.11;0.08;0.87;0.10
OPENJPA;8;Random Forest;37;3.776;0.98;No;No;0.43;0.13;0.20;0.27;0.95;0.20
OPENJPA;8;Random Forest;37;3.776;0.98;Yes;No;0.57;0.17;0.27;0.32;0.95;0.26
OPENJPA;8;IBK;37;3.776;0.98;No;No;0.18;0.26;0.21;0.08;0.83;0.21
OPENJPA;8;IBK;37;3.776;0.98;Yes;No;0.24;0.30;0.27;0.11;0.87;0.26
OPENJPA;8;Naive Bayes;37;3.776;0.98;No;SMOTE;0.06;0.57;0.11;0.09;0.91;0.09
OPENJPA;8;Naive Bayes;37;3.776;0.98;Yes;SMOTE;0.07;0.50;0.13;0.09;0.89;0.11
OPENJPA;8;Random Forest;37;3.776;0.98;No;SMOTE;0.60;0.13;0.21;0.23;0.94;0.21
OPENJPA;8;Random Forest;37;3.776;0.98;Yes;SMOTE;0.64;0.15;0.25;0.26;0.95;0.24
OPENJPA;8;IBK;37;3.776;0.98;No;SMOTE;0.18;0.26;0.21;0.08;0.83;0.21
OPENJPA;8;IBK;37;3.776;0.98;Yes;SMOTE;0.24;0.30;0.27;0.11;0.87;0.26
OPENJPA;8;Naive Bayes;37;3.776;0.98;No;OverSampling;0.22;0.44;0.29;0.20;0.85;0.25
OPENJPA;8;Naive Bayes;37;3.776;0.98;Yes;OverSampling;0.20;0.45;0.28;0.17;0.81;0.24
OPENJPA;8;Random Forest;37;3.776;0.98;No;OverSampling;0.68;1.00;0.81;0.98;1.00;0.80
OPENJPA;8;Random Forest;37;3.776;0.98;Yes;OverSampling;0.63;0.97;0.76;0.96;1.00;0.75
OPENJPA;8;IBK;37;3.776;0.98;No;OverSampling;0.62;1.00;0.77;0.77;0.99;0.76
OPENJPA;8;IBK;37;3.776;0.98;Yes;OverSampling;0.58;0.97;0.72;0.71;0.99;0.71
OPENJPA;8;Naive Bayes;37;3.776;0.98;No;UnderSampling;0.21;0.41;0.28;0.18;0.85;0.24
OPENJPA;8;Naive Bayes;37;3.776;0.98;Yes;UnderSampling;0.20;0.41;0.27;0.15;0.82;0.23
OPENJPA;8;Random Forest;37;3.776;0.98;No;UnderSampling;0.16;0.99;0.28;0.55;0.97;0.23
OPENJPA;8;Random Forest;37;3.776;0.98;Yes;UnderSampling;0.15;0.99;0.27;0.52;0.97;0.22
OPENJPA;8;IBK;37;3.776;0.98;No;UnderSampling;0.14;0.99;0.25;0.14;0.88;0.20
OPENJPA;8;IBK;37;3.776;0.98;Yes;UnderSampling;0.14;0.98;0.24;0.14;0.89;0.20
OPENJPA;9;Naive Bayes;45;3.312;0.949;No;No;0.15;0.47;0.22;0.12;0.91;0.21
OPENJPA;9;Naive Bayes;45;3.312;0.949;Yes;No;0.15;0.43;0.22;0.12;0.85;0.21
OPENJPA;9;Random Forest;45;3.312;0.949;No;No;0.75;0.09;0.16;0.22;0.91;0.16
OPENJPA;9;Random Forest;45;3.312;0.949;Yes;No;0.64;0.13;0.22;0.25;0.87;0.22
OPENJPA;9;IBK;45;3.312;0.949;No;No;0.35;0.18;0.24;0.08;0.82;0.23
OPENJPA;9;IBK;45;3.312;0.949;Yes;No;0.30;0.19;0.23;0.08;0.85;0.23
OPENJPA;9;Naive Bayes;45;3.312;0.949;No;SMOTE;0.14;0.47;0.21;0.12;0.88;0.20
OPENJPA;9;Naive Bayes;45;3.312;0.949;Yes;SMOTE;0.14;0.44;0.21;0.12;0.86;0.20
OPENJPA;9;Random Forest;45;3.312;0.949;No;SMOTE;0.60;0.09;0.15;0.21;0.88;0.15
OPENJPA;9;Random Forest;45;3.312;0.949;Yes;SMOTE;0.67;0.12;0.20;0.23;0.85;0.20
OPENJPA;9;IBK;45;3.312;0.949;No;SMOTE;0.33;0.18;0.23;0.08;0.82;0.23
OPENJPA;9;IBK;45;3.312;0.949;Yes;SMOTE;0.30;0.19;0.23;0.08;0.85;0.23
OPENJPA;9;Naive Bayes;45;3.312;0.949;No;OverSampling;0.23;0.44;0.30;0.20;0.87;0.27
OPENJPA;9;Naive Bayes;45;3.312;0.949;Yes;OverSampling;0.21;0.44;0.29;0.19;0.86;0.26
OPENJPA;9;Random Forest;45;3.312;0.949;No;OverSampling;0.66;1.00;0.80;0.99;1.00;0.79
OPENJPA;9;Random Forest;45;3.312;0.949;Yes;OverSampling;0.60;0.95;0.74;0.94;0.99;0.73
OPENJPA;9;IBK;45;3.312;0.949;No;OverSampling;0.60;1.00;0.75;0.73;0.99;0.74
OPENJPA;9;IBK;45;3.312;0.949;Yes;OverSampling;0.54;0.96;0.69;0.68;0.98;0.68
OPENJPA;9;Naive Bayes;45;3.312;0.949;No;UnderSampling;0.21;0.49;0.29;0.19;0.88;0.26
OPENJPA;9;Naive Bayes;45;3.312;0.949;Yes;UnderSampling;0.20;0.48;0.28;0.18;0.86;0.25
OPENJPA;9;Random Forest;45;3.312;0.949;No;UnderSampling;0.16;0.98;0.28;0.55;0.97;0.23
